id,name,description
product_text_module#1243,KEIN GGVS/ADR,"** KEIN GEFAHRGUT NACH ADR **
"
product_text_module#123125,KARROS. TEILE VOR LACKIEREN PRÜFEN,"ALLE KAROSSERIETEILE SIND VOR DEM LACKIEREN,
            AUF PASSFORM ZU PRÜFEN !
       ""BEARBEITETE"" KAROSSERIETEILE SIND
       VON DER RÜCKGABE AUSGESCHLOSSEN !
"
product_text_module#21801,MITATN SCHEIBENFROSTSCHUTZ ADR,"GEFAHRGUT NACH ADR    KLASSE 3(F1)
VERP.GRUPPE III       UN-NR. 1987
"
product_text_module#280001,LONGUS EINSTEIGER PAKET,"REIFENAUSWUCHTMASCHINE ELK-22 ART.-NR. 300100033
REIFENMONTIERMASCHINE ELK-11 ART.-NR. 300000105
"
product_text_module#144,ST.GOBAIN ZIERLEISTEN,"** LEISTEN, SCHEIBENGUMMIS UND CLIPSE **
*  KÖNNEN NICHT ZURÜCKGENOMMEN WERDEN !*
"
product_text_module#2,Zugehöriger Ablasshahn interne # 543938,"(CRC-Nr. 59992)
"
product_text_module#124168,Textbaustein 124168,"ENTHALTEN SIND
 6 SONAX MOTOR START HILFE   250 ML
 6 SONAX SCHEIBEN ENTEISER   300 ML
18 SONAX SCHEIBEN ENTEISER   500 ML
36 SONAX TÜRSCHLOSS ENTEISER  15 ML
24 SONAX TÜRSCHLOSS ENTEISER 100 ML
 6 SONAX GUMMI PFLEGER       100 ML
"
product_text_module#124180,Textbaustein 124180,"INHALT:
BRÄRKLEEN             500ML          7 STÜCK
ROSTLÖSER MOS2        300ML          1 STÜCK
5-56 MULTIÖL          400ML          2 STÜCK
KUPFERPASTE           100ML          1 STÜCK
KERAMIKPASTE          100ML          1 STÜCK
SUPERHAFTSPRAY        200ML          1 STÜCK
SPRÜHFETT M. TEFL.    300ML          1 STÜCK
------------------------------------------------------------
"
product_text_module#124310,Textbaustein 124310,"12  INHALT 169.65Q   TERTOTEX HV400 1 LTR. DOSEN
 1  DRUCKBECHERPISTOLE ""SATA"" OHNE SONDEN
 1  SONDERDRUCK AUTO BILD TEST
____________________________________________________________
"
product_text_module#124311,Textbaustein 124311,"INHALT   2   106.05C  TEROCLEAN FORTE
         1   107.15X  SPENDER + WANDHALTER
         1   TEROSON HANDTUCH
____________________________________________________________
"
product_text_module#100,UMTAUSCH ELEKTRONIK,"ELEKTRONISCHE ERSATZTEILE DÜRFEN NICHT ZUR FEHLERSUCHE
 VERWENDET WERDEN, EINGEBAUTE (GEBRAUCHTE) TEILE SIND VON
               DER RÜCKGABE AUSGESCHLOSSEN !
............................................................
"
product_text_module#134111,Textbaustein 134111,"**** INHALT WERKSTATTPAKET - ""PRESTO-TECH"" ****
------------------------------------------------------------
2 X SPRÜHFETT-WEISS           2 X SILICONSPRAY
2 X PTEE-SPRAY                3 X BREMSENREINIGER
3 X ROSTLÖSER                 2 X KERAMIK-SPRAY
2 X KONTAKTSPRAY              2 X MULTISPRAY
2 X ÖL-FLECK-ENTFERNER        2 X UNIV. REINIGER SPRAY
2 X KÄLTESCHOCK ROSTLÖSER
"
product_text_module#136157,Textbaustein 136157,"INHALT:   8 X UX  79       8 X UXF 79
          4 X UXK 79       6 X UXF 79 P
          4 X Z 97         4 X Z 176
          4 X Z 177        4 X Z 188
          4 X Z 190        4 X Z 200
WERKZEUG: CHROME PLUS ZÜNDKERZEN SATZ 7 TLG.
INHALT    4 X ZÜNDKERZEN STECKNUSS GRÖSSEN
          3/8"":  15 - 16 - 18 - 21 MM
          VERLÄNGERUNG M. VERRIEGELUNG 3/8""
          KIPP-VERLÄNGERUNG 3/8""
          GLENK-UMSCHALTKNARRE 3/8""
____________________________________________________________
"
product_text_module#138101,Textbaustein 138101,"WIR EMPFEHLEN SONAX AUTOINNENREINIGER
10 LTR. 321 605 HEINZMANN NR. 16997
************************************************************
"
product_text_module#168003,Textbaustein 168003,"INHALT: HAZET DREHMOMENTSCHLÜSSEL, 60 -320 NM
        2 X 5 LRT. SONAX FELGEN REINIGER
        1 DRUCKPUMP ZERSTÄUBER
...........................................................
"
product_text_module#168406,Textbaustein 168406,"INHALT:
3 X 1 LTR.  SONAX SCHEIBENWASCH    260 300
3 X 250 ML  SONAX AUTOPOLITUR      300 100
3 X 400 ML  SONAX POLSTERREINIGER  306 200
3 X 300 ML  SONAX SCHEIBENKLAR     338 200
3 X 300 ML  SONAX MOS2 OEL         339 200
2 X 400 ML  SONAX COKPITPFLEGER    343 300
3 X 250 ML  SONAX TIEFENPFLEGER    380 000
2 X 500 ML  SONAX FELGENREINIGER   429 200
3 X 500 ML  SONAX INSEKTENETNFERN. 533 200
  **** SONAX WERKSTATT-REGAL GRATIS ****
"
product_text_module#200700,Textbaustein 200700,"ACHTUNG: BELAG WURDE GEÄNDERT JETZT INCL. FEDER !
         JEDOCH PASST DER ALTE WARNKONTAKT NICHT MEHR !
............................................................
"
product_text_module#588851,TRISCAN LENKUNG,"ACHTUNG! DAS ALTTEIL BITTE IN DER OE-VERPAKUNG ZURÜCKGEBEN!
"
product_text_module#999,TEXT FÜR BESCHAFFUNGSARTIKEL,"BITTE SORGFÄLTIG UND VOLLSTÄNDIG DIE ARTIKELDATEN
ERFASSEN!  ARTIKEL NUMMER, ARTIKELTEXT, VK-PREIS , EK-PREIS
------------------------------------------------------------
"
product_text_module#310508,Textbaustein 310508,"BASISSORTIMENT RADLAGER
____________________________________________________________
2 X BK10201  VERGLEICHSNR.  191 598 625  VW GOLF 2/3 HA
2 X BK10698  VERGLEICHSNR.  357 498 625  VW GOLF 2/3 VA
2 X BK10683  VERGLEICHSNR.  4BO 498 625  A4/VW PASSAT 3B VA
2 X BK101089 VERGLEICHSNR.  1JO 498 625  A3/VW GOLF IV VA
2 X BK101087 VERGLEICHSNR.  7701205778   RENAULT CLIO /TWING
____________________________________________________________
"
product_text_module#218135,GEFAHRSTOFF UN 1987,"UN 1987 ALKOHOLE, ENTZÜNDBAR  GEFAHRCODE 30 KLASSE 3.31 C
   KENNZEICHNUNG GEM. RICHTL. 67/548/EEG U. 1999/45/EEG
       ENTHÄLT  ISOPROPANOL-ETHANOL-MONOETHYLENGLYKOL
"
product_text_module#401244,FASS AGREGAT ?,"*****   BEI RÜCKGABE DES AGGREGATS IST AUCH    *****
        **** DAS FASS ZURÜCKZUGEBEN ! **** .
"
product_text_module#419001,FACHT MONTAGEKOSTEN PREIS,"----------------------BEACHTEN------------------------------
          ZZGL. FRACHT UND MONTAGEKOSTEN
               PREISE AUF ANFRAGE !
------------------------------------------------------------
"
product_text_module#535011,AB 100 TAGE / MIETE,"***     HINWEIS: AB DEM 100 TAG ERLAUBEN WIR UNS  ***
*** PRO TAG UND FLASCHE 0.25 EUR MIETE ZU VERRECHNEN ***
"
product_text_module#544001,EINWEGSYSTEM,"____________________________________________________________
EINWEGSYSTEM MIT WIEDERVEFÜLLSICHERUNG
"
product_text_module#544002,MEHRWEGFLASCHE PFAND,"MEHRWEGFLASCHE  ACHTUNG! PFANDFLASCHE
"
product_text_module#925474,TROCKNER TAUSCHEN,"EMPFEHLUNG ! BITTE TROCKNER TAUSCHEN NR. 931247
"
product_text_module#940012,NUR MIT SCHRAUBENSATZ,"** EMPFEHLUNG ! NUR MIT SCHRUABENSATZ FO-S013 VERWENDEN **
"
product_text_module#12200,P3 PROFESSIONAL BANNER STARTHILFEGERÄT,"MIT AGM HOCHSTROMBATTERIE
NEUE GENERATION MIT EIN/AUS SCHALTER
INKLUSIVE LADEGERÄT
"
product_text_module#273141,BANNER AKTIONSPAKET FÜR ALUFELGEN,"____________________________________________________________
AKTIONSPAKET BESTEHEND AUS:
WU 3Z             5 G      100 STÜCK
WUCHTOFIT        10 G      200 STÜCK
SCHLAGGEWICHTE   15 G      200 STÜCK
FÜR ALUFELGEN    20 G      100 STÜCK
                 25 G      100 STÜCK
                 30 G      100 STÜCK
WU 15S       12 X 5 G      100 STÜCK
STAHLKLEBEGEWICHT
____________________________________________________________
WUCHTOFIT STEHT FÜR BESTE OPTIK AN DER FELGE, PATENTIERTE
SICHERHEIT UND QUALITÄT DER STARKEN MARKE BANNER.
____________________________________________________________
"
product_text_module#10300,MEMORY SAVER BANNER SPANNUNGSERHALTER,"VERHINDERT ZUVERLÄSSIG VERLUST VON DATEN BEI FAHRZEUGEN
ANSCHLUSSMÖGLICHKEIT ÜBER OBDII STECKER-ANSCHLUSS
ODER ÜBER ZIGARETTENANZÜNDER-STECKDOSE
SCHUTZ VOR DATENVERLUST BEIM BATTERIE-WECHSEL
"
product_text_module#8002,ALTTEILE NUR IN OE VERPACKUNG I,"************************************************************
   RÜCKGABE DER ALTTEILE BITTE IN DER LIEFERVERPACKUNG !
************************************************************
"
product_text_module#369901,LOWTEC,"** BITTE DIE TAGESPREISEÖÖ; ONLINE ABGLEICHEN ! **
"
product_text_module#144854,UN1950 LQ,"UN1950, DRUCKGASPACKUNG, LQ, ADR
"
product_text_module#50,NICHT FÜR KINDER UNTER 3 JAHREN,"NICHT FÜR KINDER UNTER 3 JAHREN GEEIGNET
NUR UNTER AUFSICHT ERWACHSENER BENUTZEN
"
product_text_module#303,SICHERHEITSDATEN GUSOFROST,"WICHTIGSTE SICHERHEITSDATEN
                   gemäß 93/122/EWG
-Handelsname Gusofrost LV200 - LV505
-Hersteller  Biesterfeld/Hamburg
-Gefährliche Inhaltsstoffe 107-21-1
 Ethylenglykol; R 22  gößer 50%
-Xn Gesundheitsschädlich beim Verschlucken!
-Dichte bei 20 C  1,12g/cm3
-Flammpunkt größer 120 C
-das Produkt ist nicht explosionsgefährlich
-Abfallschlüsselnummer 55303
"
product_text_module#51,FROSTSCHUTZ C11,"ETSPRICHT : ASTM D 3306   / SAE J 1034 / BS 6580:1992
.....................................................
"
product_text_module#52,FROSTSCHUTZ C12+,"FREIGABE:  VW TL 774 F
............................................................
"
product_text_module#53,FROSTSCHUTZ C13,"FREIGABE:   VW TL 774 J
............................................................
"
product_text_module#54,FROSTSCHUTZ C40,"FREIGABE:   VW TL 774 G / MB 325.5 / MAN 324 TYP SI-OAT
............................................................
"
product_text_module#55,FROSTSCHUTZ C48,"FREIGABE:    BMW N 600 69.0 / MB 325.0 / MAN 324 TYP NF
             MTU MTL 5048 / DEUTZ H-LV 0161 0188
"
product_text_module#56,SCHEIBENFROSTSCHUTZ,"INHALTSSTOFFE GEM. EU-EMPFEHLUNG:
ÜBER 30% ALKOHOLE  UNTER 5% ANIONISCHE TENSIDE / UN NR. 1987
............................................................
"
product_text_module#20,RÜCKSTÄNDE LIEFERANTEN,"Z.H. HERRN
BITTE LIEFERN SIE DIE WARE SCHNELLST MÖGLICH AN
FIRMA HEINZMANN KG AUTOTECHNIK GUNZENHAUSEN
DIE WARE WIRD DRINGEND BENÖTIGT BITTE GEBEN SIE
UMGEHEND EINEN FIXEN LIEFERTERMIN BEKANNT
FÜR RÜCKFRAGEN HERRN                TEL.NR.
ANRUFEN!
************************************************************
"
product_text_module#1342,ENTZÜNDBARE FLÜSSIGKEIT KL3,"ENTZÜNDBARER/FLÜSSIG/STOFF     ADR: KLASSE 3 / ZIFFER 3 B
METALLBEHÄLTER                 UN : 1993  ENTHÄLT ACETON
____________________________________________________________
"
product_text_module#1341,ENTZÜNDBARE FLÜSSIGKEIT KL3,"ENTZÜNDBARER/FLÜSSIG/STOFF   ADR: KLASSE 3 / ZIFFER 3 B
METALLBEHÄLTER               UN : 1993 ENTHÄLT TOLUEN
____________________________________________________________
"
product_text_module#252001,CARWIS KOSTEN BERECHNUNG,"**** AUFRECHNUNG DER CARwis KOSTEN ****
.
GRUND:_________________________________________
      _________________________________________
.
.
ZUM EINSTANDSPREIS VON   __________ EUR/JAHR
.
.
UMSATZ: 2012 ________EUR   UMSATZ: 2013 _______
.
VERTRETER: _______________
"
product_text_module#275543,EINBAUHINWEIS ZAHNRIEMEN,"**********    ACHTUNG WICHTIGER EINBAUHINWEIS !  **********
 
ÜBERSPRINGEN DES ZAHNRIEMENS BEI FOLGENDEN FAHRZEUGTYPEN....
MAZDA 323,BJ,RF-TURBO,626-GF/GW,RF-TURBO,PREMACY,CP,RF-TURBO
 
DEN MONTAGEHINWEISEN VON MAZDA ZUM JUSTIEREN DES RIEMENSPANN
ERS, UNBEDINGT FOLGE LEISTEN.
-DIE BEFESTIGUNGSSCHRAUBEN NUR HANDFEST ANZIEHEN
-DEN SPANNER SO WEIT WIE MÖGLICH NACH OBEN DRÜCKEN
-DANN ERST DIE OBERE SCHRAUBE U. ANSCHLIEßEND DIE UNTERE
 SCHRAUBE ANZIEHEN.
 
DES WEITEREN IMMER DISTANZSCHEIBE AM SPANNER EINBAUEN
MAZDA NR. RFY0-12-715 SIEHE AUCH TECHN. INFO (TI03/01)
UND REPARATUR INFORMATION VON MAZDA (RI-45/00) !
"
product_text_module#134110,FARBTON PRÜFUNG VOR LACKIEREN,"BEI GEMISCHTEN LACKEN, IST DER FARBTON VOR DEM LACKIEREN
            AUF ÜBEREINSTIMMUNG ZU PRÜFEN!
          (SONST KEINE REKLAMATION MÖGLICH !)
"
product_text_module#273140,BANNER AKTIONSPAKET FÜR STAHLFELGEN,"____________________________________________________________
AKTIONSPAKET BESTEHEND AUS:
WU 1Z                5 G     100 STÜCK
WUCHTOFIT           10 G     200 STÜCK
SCHLAGGEWICHTE      15 G     200 STÜCK
FÜR STAHLFELGEN     20 G     100 STÜCK
                    25 G     100 STÜCK
                    30 G     100 STÜCK
WU 15S          12 X 5 G     100 STÜCK
STAHLKLEBEGEWICHTRIEGEL
____________________________________________________________
WUCHTOFIT STEHT FÜR BESTE OPTIK AN DER FELGE, PATENTIERTE
SICHERHEIT UND QUALITÄT DER STARKEN MARKE BANNER.
____________________________________________________________
"
product_text_module#380150,LUXLITE AUTOLAMPEN SET,"INHALT: LUXLITE SORTIMENT
12V/H7     20 ST.     12V/H4     10 ST.      12V/H1   10 ST.
12V/1.2W   10 ST.     12V/W5W    20 ST.      12V/T4W  10 ST.
12V/R5W    20 ST.     12V/10W    10 ST.      12V/21W  20 ST.
12V/21/5W  10 ST.     12V/PY21W  10 ST.
............................................................
ALS AKTIONSBEIGABE ""ALU TEUFEL SPEZIAL"" FELGENREINIOGER GEL
1000 ML SPRAYER (SÄUREFREI)
............................................................
"
product_text_module#119620,PETEC EIMER INHALT,"************************************************************
INHALT:
 
500 ML BREMSENREINIGER
500 ML MULIFUNKTIONS-SPRAY
500 ML ROSTLÖSER MOS2
500 ML ROSTLÖSER KÄLTESCHOCK
500 ML FETTSPRAY WEISS
500 ML KERAMIKPASTEN-SPRAY
************************************************************
"
product_text_module#168407,SONAX FELGE+TECHNIK,"INHALT FELGE UND TECHNIK PAKET
2 X 5 LTR. FELGENREINIGER
1 DRUCKPUMP-ZERSTÄUBER
1 HAZET SCHLAGSCHRAUBER 9012M
............................................................
"
product_text_module#364700,TYCZKA LEIHFLASCHEN,"***WICHTIGER HINWEIS: ES KÖNNEN AUßSCHLIESLICH LEIHFLASCHEN*
***ZURÜCKGENOMMEN WERDEN, DIE WIR IM LIEFERPROGRAMM FÜHREN:*
***TYCZKA INDUSTRIEGASE GMBH, SCHIESSEL GMBH, WAECO GMBH ***
"
product_text_module#14279,PRESTO TEC PAKET,"INHALT:
306352 SPRÜHFETT-SPRAY WEISS    400 ML  (1 DOSE)
306413 STARTHILFE-SPRAY         400 ML  (1 DOSE)
306345 SILIKON-SPRAY            400 ML  (1 DOSE)
306314 ROSTLÖSER-SPRAY          400 ML  (1 DOSE)
306383 KUPFER-SPRAY             400 ML  (1 DOSE)
306338 PTFE-SPRAY               400 ML  (1 DOSE)
306390 KETTEn-SPRAY             400 ML  (1 DOSE)
258212 DRUCKLUFT-SPRAY          400 ML  (1 DOSE)
157141 KONTAKT-SPRAY            400 ML  (1 DOSE)
315541 BREMSENREINIGER          500 ML  (3 DOSEN) GRATIS
"
product_text_module#713302,GLÜHKERZEN TEXT 2016,"***BERU EMPFIEHLT BEI AUSTAUSCH VON GLÜHKERZEN
DAS GLÜHZEITSTEUERRELAIS ZU ERSETZEN.***
BEI JEDEM GLÜHKERZENWECHSEL SOLLTE DAS GLÜHKERZENGEWINDE
MIT DEM GKF 001 GEFETTET WERDEN. ***
"
product_text_module#1000000,SEPA Lastschriften Text,"Unsere Forderung ziehen wir mit der
SEPA-Firmenlastschrift zum Mandat %MANDAT% zu der
Gläubigeridentifikationsnummer %GLÄUBIGER-ID-NR% von der von
Ihnen in der Lastschriftvereinbarung angegebenen Kontover-
bindung zum Fälligkeitstag %DATUM% ein. Wir bitten Sie für
Kontodeckung zu sorgen. Eventueller Skontoabzug ist
berücksichtigt.
"
product_text_module#4523,ALARM,"* ANFHART MITARBEITER HERR __________________  KM _______
*
* DATUM: ___________  UHRZEIT: :_________________________
*
* KOSTEN FÜR POLIZEIEINSATZ UNTER VORBEHALT:
*
*________________________________________________________
*________________________________________________________
"
product_text_module#5050,CONCAR-RÜCKGABE,"ACHTUNG !   CONCAR RÜCKLIEFERUNGEN WERDEN IMMER 10 EUR
WIEDEREINLAGERUNSGEBÜHR VOM LIEFERANTEN VERLANGT!
............................................................
"
product_text_module#31017,Textbaustein 31017,"INHALT:
2 X 796107 TEROSON WX 210    500 ML
4 X 803863 TEROSON SB 3120   500 ML
1 X TRAGETASCHE
"
product_text_module#464217,ROWE PREISE,"BITTE BEACHTEN !
GEBINDE VON  1 LTR. BIS   5 LTR. = GEBINDEPREIS
        AB  20 LTR. BIS 200 LTR. = LITERPREIS
____________________________________________________________
"
product_text_module#520810,GEWICHTE WUETSCHNER,"*** ACHTUNG !  PREIS PER 10 STÜCK! ***
"
product_text_module#2222,CARWIS,"** CARwis ABO-Rechnungen können 14 Tage vor  **
** Quartalsende schriftlich gekündigt werden!**
**      Kündigungen oder Neuaufträge an      **
**       carwis@heinzmann-autotechnik.de     **
............................................................
"
product_text_module#18000,STEEL SEAL INFO TEXT ANWENDUNG,"STEEL SEAL NUR IN VERBINDUNG MIT SAUBEREM UND REINEM
KÜHLMITTEL VERWENDEN. VERUNREINIGTES KÜHLMITTEL VOR
DER ANWENDUNG ERNEUERN ODER KÜHLSYSTEM SPÜHLEN.
NICHT MIT ANDEREN DICHTMITTELN ODER REINIGERN KOMBINIEREN!
"
product_text_module#1938,LOUIS HINWEIS VERSAND + EINLAGERUNG,"HINWEIS: LOUIS PRODUKTE SIND SERVICE-ARTIKEL ZUR ABRUNDUNG
UNSERES SORTIMENTES UND SIND VON DER RÜCKGABE AUSGESCHLOSSEN
BEI SONDERRÜCKGABEN FALLEN 20 % WIEDEREINLAGERUNGSKOSTEN AN
"
product_text_module#162134,WARNHINWEIS FTE HYDRAULIK-MONTAGEPASTE,"HINWEIS: NICHT VERTRÄGLICH MIT DOT 5 SILIKON-BREMSFLÜSSIG-
KEIT. NICHT AUF REIBFLÄCHEN VON BREMSBELÄGEN ODER BREMS-
SCHEIBEN AUFTRAGEN!
"
product_text_module#5673,REPARATURHINWEIS FUCHS STEUERKETTEN,"DIE VORGABEN DER AUTOMOBILHERSTELLER SIND
BEI ALLEN REPARATUREN UNBEDINGT EINZUHALTEN.
EINBAU VON ERSATZTEILEN NUR DURCH GESCHULTES FACHPERSONAL.
PRÜFEN SIE VOR DEM EINBAU IMMER PASSFORM UND RICHTIGKEIT
DES ERSATZTEILS. WAREN MIT BESCHÄDIGTER VERPACKUNG KÖNNEN
NICHT MEHR ZURÜCKGENOMMEN WERDEN.
"
product_text_module#120124,FEBI EMPFEHLUNG 26960,"WIR EMPFEHLEN DRINGEND, BEIM FILTERWECHSEL DAS
  VENTIL  MITAUSZUTAUSCHEN  FEBI NR. 26960
"
product_text_module#152019,SANATA-TOOLS 2019,"ADVENTSKALENDER INCL. 5,00 EUR GUTSCHEIN FÜR DEN
HAZET FAN-SHOP -  J E D E R   GUTSCHEIN GEWINNT!
 
VERSTECKT SIND AUCH WEITERE GEWINNE
 1 X 500 EUR GUTSCHEIN*
10 X 100 EUR GUTSCHEIN*
 
*DIE GUTSCHEINE SIND INCL. MWST. UND KÖNNEN NUR UNTER
 WWW.HAZET.DE/FAN-SHOP EINGELÖST WERDEN!
"
product_text_module#800111,FRACHTKOSTEN TOP-TURBO,"*** IMMER 19,90 ZZGL. MWST FACHTKOSTEN BERECHNEN ***
***              INTERNE NUMMER 1950001
"
product_text_module#115201,RÜCKGABE ALTTEILE VERPACKUNG II,"____________________________________________________________
RÜCKGABE DER ALTTEILE BITTE NUR IN ORIGINAL-VERPACKUNG !
____________________________________________________________
"
